le	0	3489276
origin	1400	3486936
trust	901	3477649
information	1350	3472036
aid	1375	3469858
leaving	900	3465922
mary	0	3461533
population	1570	3459352
run	900	3459204
officer	1275	3452654
leaves	900	3451737
district	1650	3448175
hall	900	3446973
expressed	1275	3446009
feelings	900	3445559
proof	1175	3443596
gospel	950	3443088
pain	1250	3433593
speech	900	3427748
entire	1350	3424356
popular	1375	3421758
situation	1480	3419642
events	1560	3418654
named	900	3418118
winter	900	3413553
send	900	3412237
lives	900	3408888
answered	900	3408401
ordered	1175	3404723
adopted	1490	3400946
fish	900	3393045
material	1300	3390364
reign	1225	3388811
views	1375	3381673
spain	0	3378566
operation	1350	3368602
represented	1250	3356753
april	1150	3348780
forces	1250	3348489
takes	900	3346788
excellent	1350	3344911
policy	1350	3344688
division	1325	3341583
speaking	900	3340159
remember	1300	3336011
across	1	3330407
fresh	900	3328243
divided	1555	3327770
boy	901	3324547
horses	900	3324347
cast	901	3323878
supply	1325	3321208
worthy	900	3313742
non	0	3309183
rendered	1275	3307316
happiness	1150	3305033
occupied	1300	3291826
caused	1175	3288439
marked	900	3286943
understood	900	3284989
opportunity	1350	3284392
figure	1175	3281066
ireland	0	3272887
wisdom	900	3272563
married	1325	3272342
prayer	1400	3266170
introduced	1425	3265666
numbers	1250	3260019
month	900	3258743
mode	1250	3257436
useful	1175	3256060
practical	1375	3254002
reference	1325	3249662
wind	900	3242480
notes	1175	3235892
powerful	1250	3233995
heavy	900	3230679
german	0	3230296
treatment	1250	3224727
perfectly	1250	3222726
worship	900	3220445
daily	950	3219647
reading	900	3215056
square	1250	3209026
theory	1590	3208954
summer	900	3208077
indians	0	3206458
lake	1000	3198860
fourth	950	3193255
countries	1200	3192596
date	1275	3191705
memory	1275	3191136
taste	1250	3190812
main	900	3187593
relations	1350	3185551
wall	900	3182963
sacred	1275	3182010
admitted	1375	3181863
likely	1150	3179902
finally	1300	3179307
minds	900	3178222
save	1175	3177044
write	900	3172242
measures	1250	3170794
mountain	1175	3169137
worth	900	3165309
substance	1250	3163293
writer	900	3162393
succeeded	1325	3161422
inches	1000	3161342
everything	900	3159896
glass	900	3159736
temple	900	3149149
estate	1175	3149124
application	1375	3145741
reader	900	3140223
advanced	1425	3140204
defence	1250	3139670
chiefly	1250	3138236
claim	1250	3136235
standing	900	3125264
assembly	1275	3122722
deal	900	3119502
scotland	0	3115216
w	0	3113538
social	1555	3109662
philosophy	1250	3103008
believed	1150	3102768
enemies	1250	3096847
confidence	1350	3096044
edward	0	3093668
purposes	1250	3092397
amongst	1	3082866
article	1200	3082361
articles	1200	3082344
distinct	1350	3080730
freedom	900	3077585
mark	900	3076189
vast	1565	3072113
altogether	900	3070190
whilst	1	3068375
western	900	3067390
brown	1000	3064464
directed	1530	3062724
obtain	1375	3062202
wide	900	3060659
seeing	900	3059255
secret	1350	3058399
youth	900	3049918
false	1000	3049256
soil	1300	3044595
churches	900	3035794
grant	1175	3029241
interests	1225	3026232
vessel	1250	3023778
larger	1125	3022850
composed	1475	3020156
possessed	1525	3018172
nine	900	3015224
height	900	3013294
play	900	3003908
rate	1375	3003143
cent	1325	3002612
mine	1	2997694
pieces	1175	2996043
shows	900	2991598
schools	900	2989596
ships	900	2987625
wise	900	2983894
trial	1250	2983190
italy	0	2981846
contained	1400	2978525
separate	1400	2976610
vain	1250	2973184
pressure	1350	2971051
goods	900	2962160
development	1745	2961147
questions	1250	2960010
add	1325	2956837
ministers	1250	2953470
changes	1175	2952410
vi	0	2950060
gentlemen	1175	2949930
reach	900	2949482
august	1100	2946525
accordingly	1300	2945510
picture	1375	2938575
previous	1615	2936928
contains	1250	2935963
honourable	1300	2935264
patient	1275	2930061
escape	1250	2926566
opposition	1350	2925081
entitled	1350	2922054
universal	1325	2919409
express	1275	2918712
constant	1350	2917730
classes	1585	2909974
ages	1225	2909850
serve	1125	2909394
spot	1150	2907732
simply	1175	2904834
literature	1375	2903122
killed	1175	2901470
week	900	2901453
active	1300	2900283
settled	1000	2892158
suddenly	1250	2891948
washington	0	2889917
fort	1550	2887786
rock	1300	2883764
founded	1350	2881201
blue	1250	2877253
opinions	1250	2876526
attended	1250	2867033
joy	1175	2865950
thrown	1000	2862940
bright	1000	2862327
castle	1000	2858481
journey	1175	2855612
valuable	1580	2854736
wrong	1100	2854192
northern	900	2853615
containing	1250	2848725
stage	1300	2848555
chap	0	2847648
treaty	1350	2842150
fit	900	2842074
immediate	1525	2840789
current	1250	2835297
poet	1250	2831061
solution	1325	2830156
wealth	901	2829916
sister	900	2828840
taught	900	2828188
top	1000	2825379
robert	0	2820631
regular	1350	2816840
highly	900	2815939
variety	1525	2813544
peter	0	2813487
university	1250	2811945
distant	1350	2809912
genius	1350	2807680
naturally	1300	2805038
allow	1250	2804922
granted	1175	2804664
tried	1250	2804052
rank	1560	2802200
camp	1520	2801505
conversation	1300	2796285
sat	900	2791817
spoke	900	2790427
britain	0	2788730
writers	900	2788631
local	1400	2777494
province	1300	2776228
fame	1175	2775627
desired	1250	2770500
administration	1275	2770183
argument	1325	2770157
cloth	900	2769172
secretary	1350	2768962
moved	1200	2768138
treated	1250	2766390
season	1250	2760088
truly	1000	2759258
step	900	2759020
christianity	1250	2758774
leading	900	2758579
gradually	1375	2754690
fortune	1250	2753500
resolved	1490	2747841
catholic	1300	2747121
shore	901	2745080
southern	900	2742511
learn	900	2740673
cost	1200	2739336
waters	900	2737811
citizens	1275	2731156
lies	900	2727973
movement	1350	2727476
instances	1300	2727396
require	1300	2726454
valley	1250	2722899
external	1375	2718519
accompanied	1425	2717651
hearts	900	2716049
promise	1400	2715883
professor	1350	2715026
count	1275	2710433
physical	1400	2709502
directly	1350	2709467
render	1275	2706035
showed	900	2705033
grey	900	2697357
pounds	900	2695746
total	1350	2694730
proceed	1350	2693916
formerly	901	2692421
actual	1275	2691680
advance	1200	2691387
wholly	900	2688715
music	1200	2688450
pretty	1000	2687631
delivered	1175	2687440
revolution	1350	2685863
serious	1400	2685408
suffered	1200	2683339
dry	900	2683000
capable	1555	2681842
clock	1350	2680172
extraordinary	1425	2679714
sons	900	2673248
evident	1350	2671077
clearly	1280	2665792
plants	900	2665524
struck	1000	2664013
spanish	0	2659182
christians	1250	2652950
execution	1250	2649703
double	1175	2648545
continue	1300	2648340
design	1540	2645329
grave	1000	2644646
sweet	900	2642573
secure	1525	2640242
flowers	1150	2640146
yes	900	2636616
examination	1350	2635632
seat	1150	2633470
temperature	1525	2631388
pleased	1275	2631057
attached	1545	2630174
reduced	1620	2627574
belief	1125	2622523
demand	1250	2622020
mankind	900	2621878
protection	1275	2621233
notwithstanding	900	2620741
exist	1595	2614558
derived	1350	2614420
kings	900	2613729
refused	1300	2611585
share	900	2609082
spoken	900	2608424
spirits	1200	2607498
affection	1200	2607253
elements	1300	2604783
girl	901	2604307
actually	1400	2600628
arm	900	2599714
celebrated	1425	2598723
draw	900	2596911
working	900	2595721
hair	900	2589750
servant	1175	2587258
referred	1325	2586577
ll	0	2582781
trouble	1175	2577435
broad	1000	2576816
heads	900	2574994
changed	1175	2574691
rules	1175	2568517
throne	1175	2561346
consequently	1375	2556833
conclusion	1300	2553142
en	0	2552478
courts	1125	2552086
observe	1350	2550769
benefit	1350	2548165
eternal	1350	2546908
efforts	1480	2545098
quarter	1250	2543993
narrow	900	2543819
curious	1275	2543220
absolute	1350	2542094
stream	900	2539767
base	1275	2538131
learning	900	2536297
october	1050	2533712
beneath	900	2533579
mention	1250	2532070
proceeded	1350	2530918
opening	1125	2529849
destroyed	1175	2524800
towns	900	2521854
printed	1250	2521313
likewise	900	2519624
absence	1350	2517502
port	900	2517149
islands	900	2516292
january	1000	2513230
sufficiently	1350	2507787
wished	900	2506642
sought	900	2504255
event	1560	2502767
offer	900	2502546
spread	1125	2501984
birth	1125	2498639
faithful	1200	2496812
partly	1000	2496499
louis	0	2496302
statement	1750	2495411
committed	1350	2495286
addition	1350	2494957
latin	0	2493491
severe	1540	2489848
guard	1375	2488807
goes	900	2487600
papers	1325	2485744
joined	1250	2484667
knows	900	2484203
forced	1540	2481546
services	1520	2476690
consists	1520	2475963
independent	1605	2475125
ones	900	2473956
chosen	1000	2472766
extended	1400	2472377
majority	1545	2469903
toward	900	2469159
eastern	900	2467925
rocks	1300	2465649
hot	1000	2464798
distinction	1175	2464169
september	1050	2460283
hills	900	2459913
address	1300	2457758
remarks	1625	2457257
kinds	900	2454496
growth	900	2453399
garden	1300	2452858
reasons	1175	2450093
arrival	1350	2448096
probable	1350	2447239
branches	1250	2444265
essential	1300	2442275
extreme	1425	2438597
stands	900	2437240
stock	900	2437141
ways	900	2436886
affected	1500	2430393
boat	900	2426720
smith	900	2426380
source	1300	2426010
admit	1375	2424092
banks	0	2419175
issue	1275	2418322
major	1350	2418015
completely	1325	2414751
decided	1350	2410804
seek	900	2408284
wine	900	2407342
properly	1250	2405991
error	1250	2404652
bearing	900	2404248
plate	1250	2402450
election	1225	2401854
mercy	1125	2399642
informed	1400	2399230
sovereign	1250	2399185
